GuessSync E63 — «Guess the Dessert» — image attributions
Source: Wikimedia Commons. Each line: slug | dessert | author | license | source URL
toffee | Toffee | Famartin | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2020-01-03_23_03_50_A_Russell_Stover_Toffee_covered_in_milk_chocolate_broken_in_two_pieces_in_the_Dulles_section_of_Sterling,_Loudoun_County,_Virginia.jpg
praline | Praline | Kirschblut at German Wikipedia | Public domain | https://commons.wikimedia.org/wiki/File:Meeresfruchte.jpg
chocolatetruffle | Chocolate Truffle | Wilfredor | CC0 | https://commons.wikimedia.org/wiki/File:Rocky_Mountain_chocolates.jpg
meringue | Meringue | Tamorlan | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Merengues-Spain.jpg
flan | Flan | Cary Bass | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Homemade_Flan.jpg
ricepudding | Rice Pudding | Ross Berteig from Monrovia, California, USA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Rice_pudding_cinnamon.jpg
bakedalaska | Baked Alaska | stef yau | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Baked-Alaska.jpg
strudel | Apple Strudel | StaraBlazkova | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Strudel44.jpg
gelato | Gelato | Slashme | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Icecream_Cone.jpg
sorbet | Sorbet | Renee Comet (photographer) | Public domain | https://commons.wikimedia.org/wiki/File:RaspberrySherbet.jpg
lavacake | Molten Lava Cake | Riyadh Al Balushi | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Chili%27s_Molten_Chocolate_Cake.jpg
strawberryshortcake | Strawberry Shortcake | Shisma | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:%E3%83%84%E3%83%A7%E3%83%BC%E3%83%88%E3%82%B1%E3%83%BC%E3%82%AD.jpg
blackforest | Black Forest Cake | Peter Jung (Kosmos1985 at de.wikipedia) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Schwarzwaelderkirsch_anschnitt.jpg
kanafeh | Kanafeh | Contrapunctus-1 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cheese_kunafa_at_Agasi,_Lajpat_Nagar,_Delhi_(2025-10-04).jpg
pavlova | Pavlova | Alice Batt | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pavlova_Dessert_with_Fruit.jpg
cannoli | Cannoli | Stefano Mortellaro from Catania, Italy | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Cannoli_siciliani.jpg
pasteldenata | Pastel de Nata | Dietmar Rabich | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Funchal_(Madeira,_Portugal),_Rua_Dr._Fern%C3%A3o_de_Ornelas,_Nata_7_-_Fern%C3%A3o_Ornelas_--_2025_--_1205.jpg
millefeuille | Mille-feuille | Gobonobo | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Millefoglie_from_the_Cossetta_patisserie.jpg
sachertorte | Sachertorte | mpellegr from Barcelona, Spain | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Sachertorte-HotelSacher-2008.jpg
baumkuchen | Baumkuchen | pelican | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Baumkuchen_slice.jpg
stollen | Stollen | Gürgi | Public domain | https://commons.wikimedia.org/wiki/File:Stollen-Dresdner_Christstollen.jpg
panettone | Panettone | N i c o l a from Fiumicino (Rome), Italy | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Home_made_panettone_by_Nicola_(5300955223).jpg
financier | Financier | Guillaume Capron from Issy les Moulineaux, France | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Financier_(cake).jpg
madeleine | Madeleine | myself (Bernard Leprêtre) | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Madeleines_de_Commercy.jpg
operacake | Opera Cake | Willis Lam | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Schubert%27s_Bakery_Opera_Cake_slice_(34908321421).jpg
dobostorte | Dobos Torte | No machine-readable author provided. Pv assumed (based on copyright claims). | Public domain | https://commons.wikimedia.org/wiki/File:Dobostaart.jpg
basbousa | Basbousa | stu_spivack | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Basboosa.jpg
gulabjamun | Gulab Jamun | Suyash.dwivedi | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Two_Gulab_Jamun_in_a_plate_01.jpg
jalebi | Jalebi | Charles Haynes | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Jalebi_image.jpg
ladoo | Ladoo | Satdeep Gill | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Laddu_preparation_for_Punjabi_wedding_06.jpg
rasgulla | Rasgulla | Solehachikhalkar | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Bengali_Sponge_Rasgulla.jpg
halva | Halva | Abdulsalam Al Dabbagh | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Iraqi_Halva-Mosul_01.jpg
