GuessSync E59 — «Guess the Primate» — Image Attributions
All images from Wikimedia Commons / Wikipedia. 100 primate species.
Format: slug — Name | Author | License | Source
pygmymarmoset — Pygmy Marmoset | Malene Thyssen (User Malene) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Dv%C3%A6rgsilkeabe_Callithrix_pygmaea.jpg
woollymonkey — Woolly Monkey | Hans Hillewaert | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lagothrix_lagotricha_(male).jpg
whitefacedsaki — White-faced Saki | Jik jik | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pithecia_pithecia_ZOO_Plzen.jpg
nightmonkey — Night Monkey | Stavenn | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Stavenn_Aotus_trivirgatus_00.jpg
titimonkey — Titi Monkey | Tony Hisgett | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Coppery_Titi_2.jpg
redruffedlemur — Red Ruffed Lemur | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Red_ruffed_lemur_(Varecia_rubra).jpg
ruffedlemur — Black-and-white Ruffed Lemur | Chensiyuan | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1_black_and_white_ruffed_lemur.jpg
mouselemur — Mouse Lemur | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:L%C3%A9mur_rat%C3%B3n_gris_(Microcebus_murinus),_Parque_Nacional_de_Lokobe,_Nosy_Be,_Madagascar,_2025-09-21,_DD_83.jpg
brownlemur — Brown Lemur | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Common_brown_lemur_(Eulemur_fulvus)_male.jpg
goldensnubnosed — Golden Snub-nosed Monkey | Giovanni Mari | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Golden_Snub-nosed_Monkeys,_Qinling_Mountains_-_China.jpg
duskyleaf — Dusky Leaf Monkey | Pavel Kirillov from St.Petersburg, Russia | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Dusky_leaf_monkey_(8050982300).jpg
sootymangabey — Sooty Mangabey | Justin Philbois | CC0 | https://commons.wikimedia.org/wiki/File:Cercocebus_atys_219636002.jpg
whitecheekedgibbon — White-cheeked Gibbon | Hasekamp at Dutch Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Witwanggibbon_M.jpg
bluemonkey — Blue Monkey | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Blue_monkey_(Cercopithecus_mitis_stuhlmanni).jpg

[HARD]
coquerelssifaka — Coquerel's Sifaka | Olivier Lejade | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Propithecus_coquereli_02.jpg
verreauxsifaka — Verreaux's Sifaka | JialiangGao www.peace-on-earth.org | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Verreauxs_Sifika_Kirindy_Madagascar.jpg
crownedlemur — Crowned Lemur | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Crowned_lemur_(Eulemur_coronatus)_male.jpg
redbelliedlemur — Red-bellied Lemur | Rachel Kramer | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Eulemur_rubriventer_001.jpg
blacklemur — Black Lemur | VisitingMadagascar | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Black_Lemur_Lemur.jpg
bamboolemur — Bamboo Lemur | Rachel Kramer | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Hapalemur_aureus_001.jpg
sportivelemur — Sportive Lemur | Brendansoloughlin | CC0 | https://commons.wikimedia.org/wiki/File:Lepilemur_mustelinus.jpg
dwarflemur — Dwarf Lemur | Petra Lahann | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Cheirogaleus-medius.jpg
greatergalago — Greater Galago | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Thick-tailed_Bushbaby_(Otolemur_crassicaudatus)_(17322632725).jpg
pygmyslowloris — Pygmy Slow Loris | David Haring / Duke Lemur Center | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nycticebus_pygmaeus_004.jpg
slenderloris — Slender Loris | Kalyan Varma (Kalyanvarma) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Slender_Loris.jpg
potto — Potto | Ltshears | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:PottoCincyZoo.jpg
spectraltarsier — Spectral Tarsier | Sakurai Midori | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Tarsius_tarsier_Tandurusa_zoo.JPG
blacksnubnosed — Black Snub-nosed Monkey | Rod Waddington from Kergunyah, Australia | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Black_Snub-nosed_Monkey_(44489823001).jpg
francoislangur — François' Langur | Ltshears | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:FrancoisLangur2_CincinnatiZoo.jpg
purplefacedlangur — Purple-faced Langur | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Purple-faced_langur_(Semnopithecus_vetulus_vetulus).jpg
nilgirilangur — Nilgiri Langur | N.A.Nazeer | CC BY-SA 2.5 in | https://commons.wikimedia.org/wiki/File:Nilgiri_langur_(1)_by_N._A._Naseer.jpg
silveredlangur — Silvered Langur | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Silvered_Leaf_Monkey_(Trachypithecus_cristatus)_(8125672881).jpg
cappedlangur — Capped Langur | Dibyendu Ash | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%27tenebricus%27_Capped_Langur_from_Manas.jpg
goldenlangur — Golden Langur | The original uploader was Amartyabag at English Wikipedia. | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Golden_langur.jpg
graycheekedmangabey — Gray-cheeked Mangabey | Marie de Carne | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Grey-cheeked_Mangabey.JPG
