# GuessSync E46 «Guess the Tree» — photo attributions (Wikimedia Commons)
# slug|name|author|license|source_url
hazel|Hazel|Mike Kirby|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Hazel,_Corylus_avellana_-_geograph.org.uk_-_2322205.jpg
hawthorn|Hawthorn|Acabashi|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:%27Crataegus%27_hawthorn_tree_blossom_at_Great_Canfield,_Essex,_England.jpg
rowan|Rowan|Eeno11|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Rowan_tree_20081002b.jpg
alder|Alder|Sten|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Alnus-glutinosa-habitus.JPG
sweetchestnut|Sweet Chestnut|Martinvl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Coppiced_sweet_chestnut_woodland.jpg
almond|Almond|Anna Anichkova|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Almond_tree_6241.jpg
avocado|Avocado|B.navez|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Persea_americana_fruit_2.JPG
pomegranate|Pomegranate|Tieum512|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Punica_granatum_on_tree_-_Croatia.jpg
jacaranda|Jacaranda|Jules Verne Times Two|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Jacaranda_tree_(Jacaranda_mimosifolia)_in_bloom,_Miguel_Bombarda_Avenue,_Lisbon,_Portugal_julesvernex2.jpg
rubbertree|Rubber Tree|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Ficus_elastica_-_La_Palma_01.jpg
teak|Teak|Vengolis|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Nilambur_Teak_Plantation_0384.jpg
mahogany|Mahogany|Vinayaraj|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Mahagoni_Tree.jpg
acacia|Acacia|Daniel Case|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Safari_vehicle_parked_under_acacia_tree_on_savanna,_Maasai_Mara,_Kenya.jpg
ginkgo|Ginkgo|そらみみ|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Ginkgo_biloba_tree_near_Bronze_torii_of_Hikosan_Shrine.jpg
japanesemaple|Japanese Maple|Photo (c)2007 Derek Ramsey (Ram-Man)|GFDL 1.2|https://commons.wikimedia.org/wiki/File:Japanese_Maple_Acer_palmatum_Autumn_Tree_3008px.jpg
yew|Yew|Sitomon|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Taxus_baccata_tree.jpg
holly|Holly|Evelyn Simak|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Common_Holly_(Ilex_aquifolium)_-_geograph.org.uk_-_1605818.jpg
monkeypuzzle|Monkey Puzzle|DavydhT|CC0|https://commons.wikimedia.org/wiki/File:Monkey_Puzzle_tree_(Araucaria_Araucana)_on_Penryn_Campus,_Cornwall_01.jpg
banyan|Banyan|Adityamadhav83|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Roadside_Banyan_tree_(Ficus_benghalensis)_at_Kothavalasa.jpg
corkoak|Cork Oak|Jules Verne Times Two|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Cork_oak_tree_(Quercus_suber)_behind_a_dry_stone_wall,_Beir%C3%A3,_Portugal_julesvernex2.jpg
londonplane|London Plane|Ekopolis Foundation|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:2013_Plane_tree_from_Komjatice_SK.jpg
tuliptree|Tulip Tree|Homoarborea|CC0|https://commons.wikimedia.org/wiki/File:Liriodendron_tulipifera_Meise_Nationale_Plantentuin.jpg
dogwood|Dogwood|Gmihail at Serbian Wikipedia|CC BY-SA 3.0 rs|https://commons.wikimedia.org/wiki/File:Cornus_florida_habitus.jpg
redbud|Redbud|Dcrjsr|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Cercis_canadensis_redbud_tree_bloom.jpg
catalpa|Catalpa|Chris Light|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Catalpa_Tree_8240.jpg
sweetgum|Sweetgum|Calistemon|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Liquidambar_styraciflua_in_Golden_Valley_Tree_Park,_May_2022_02.jpg
persimmon|Persimmon|かるちる|CC0|https://commons.wikimedia.org/wiki/File:A-bombed_tree_(diospyros_kaki,_S05a6-11)_No.1.jpg
mulberry|Mulberry|Harvinder Chandigarh|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Morus_alba_tree_in_spring_season_14.jpg
tamarind|Tamarind|Forest and Kim Starr|CC BY 3.0 us|https://commons.wikimedia.org/wiki/File:Starr-150326-0727-Tamarindus_indica-tall_tree_and_Laysan_Albatrosses-Near_Citrus_Grove_Town_Sand_Island-Midway_Atoll_(25240518386).jpg
frangipani|Frangipani|Basile Morin|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Twisted_Plumeria_tree_trunk_overgrowing_the_steep_stone_stairs_of_Wat_Phou_temple,_Champasak,_Laos.jpg
royalpoinciana|Royal Poinciana|Robin Taylor from Bamako, Mali|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Flame_tree_mali.jpg
cottonwood|Cottonwood|Calistemon|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Populus_deltoides_in_Golden_Valley_Tree_Park,_May_2022_03.jpg
sassafras|Sassafras|AndyScott|CC0|https://commons.wikimedia.org/wiki/File:Sassafras_albidum,_Champion_Tree_at_Cannizaro_Park.jpg
baldcypress|Bald Cypress|Melissa J. Romero|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:20190716_092023_Florida_Cypress_Tree.jpg
hornbeam|Hornbeam|Willow|CC BY 2.5|https://commons.wikimedia.org/wiki/File:Carpinus_betulus_-_Hunsr%C3%BCck_001.jpg
linden|Linden|Юрий Д.К.|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Efremov_-_2025_-_Tilia_cordata_tree_01.jpg
blacklocust|Black Locust|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Robinia_pseudoacacia_001.JPG
osageorange|Osage Orange|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Maclura_pomifera_001.JPG
dragonblood|Dragon Blood Tree|Boris Khvostichenko(User:Boriskhv)|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Socotra_dragon_tree.JPG
joshuatree|Joshua Tree|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Yucca_brevifolia_-_Funchal_01.jpg
rainboweucalyptus|Rainbow Eucalyptus|Forest and Kim Starr|CC BY 3.0 us|https://commons.wikimedia.org/wiki/File:Starr-090618-1063-Eucalyptus_deglupta-trunk_and_bark-Hana_Hwy-Maui_(24872186541).jpg
kauri|Kauri|Prosperosity|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Kauri_tree_20241222_110057.jpg
ghostgum|Ghost Gum|Brian W. Schaller|FAL|https://commons.wikimedia.org/wiki/File:A212,_Mary_Kathleen,_Queensland,_Australia,_ghost_gum_tree,_2007.JPG
bristlecone|Bristlecone Pine|James R Bouldin (talk · contribs)|Public domain|https://commons.wikimedia.org/wiki/File:Prometheus_Wheeler.jpg
wollemi|Wollemi Pine|This illustration was made by Citron You must credit this : Citron / CC-BY-SA-3.0|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Wollemia_nobilis_full.jpg
quivertree|Quiver Tree|Le Grand Portage, derivative work: Fletcher6 (talk)|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Aloe_dichotoma_-Keetmanshoop,_Namibia-21Aug2009-2.jpg
boab|Boab|Whitenoise01 at English Wikipedia|CC BY 2.5|https://commons.wikimedia.org/wiki/File:Boab,_Timber_Creek,_NT_-_Melissa_Jamcotchian.JPG
bunya|Bunya Pine|John Robert McPherson|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Araucaria_bidwillii_Bunya_Mountains_National_Park_Queensland_1980s_IMG_0025.jpg
travelerspalm|Traveler's Palm|CEphoto, Uwe Aranas|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Penang_Malaysia_Ravenala-madagascariensis-01.jpg
sausagetree|Sausage Tree|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Kigelia_africana_-_Jardim_Municipal_do_Funchal_01.jpg
cannonball|Cannonball Tree|பரிதிமதி|Public domain|https://commons.wikimedia.org/wiki/File:Couroupita_guianensis_tree.JPG
manchineel|Manchineel|René Bongard|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Manzanilla_forest_and_a_cactus_-_panoramio.jpg
silkfloss|Silk Floss Tree|blmurch|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Palo_Borracho_Trees_of_Buenos_Aires_(482292280).jpg
kapok|Kapok|CEphoto, Uwe Aranas|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Tunku_Sabah_Kapok-Tree-01.jpg
handkerchief|Handkerchief Tree|muffinn from Worcester, UK|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Petworth_-_Davidia_involucrata_(dove_tree,_handkerchief_tree,_pocket_handkerchief_tree,_ghost_tree).jpg
dawnredwood|Dawn Redwood|Cossey25|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Tree_006_dawn_redwood_habit_002.jpg
cocodemer|Coco de Mer|Photography by Dino Sassi - Marcel Fayon, Photo Eden LTD|Public domain|https://commons.wikimedia.org/wiki/File:Vallee_de_Mai_waterfall_and_coco_de_mer_palm_Praslin_Seychelles.jpg
cabbagetree|Cabbage Tree|Michal Klajban|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Cabbage_tree_by_Te_Paeroa,_Richmond,_Christchurch,_New_Zealand.jpg
pandanus|Screw Pine|Forest and Kim Starr|CC BY 3.0 us|https://commons.wikimedia.org/wiki/File:Starr-120606-7091-Pandanus_tectorius-habit_view_coast-Backside_Lelekea_Bay-Maui_(25118459006).jpg
judastree|Judas Tree|Christian Ferrer|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Cercis_siliquastrum,_For%C3%AAt_domaniale_de_S%C3%A8te,_tree_01.jpg
stranglerfig|Strangler Fig|EgorovaSvetlana|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Strangler_Fig_Tree_at_Garden_of_the_Groves_Botanical_Garden_in_Grand_Bahama.jpg
baobabgrandidier|Grandidier's Baobab|Bernard Gagnon|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Adansonia_grandidieri04.jpg
ombu|Ombu|Awinch1001|CC0|https://commons.wikimedia.org/wiki/File:Phytolacca_dioica_tree_Rhodes_City.jpg
