GuessSync E63 — «Guess the Nut or Seed» — Image Attributions
100 real nut / seed / legume photos sourced from Wikimedia Commons / Wikipedia.
Images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that.
Format: slug — Name | Author | License | Source
cranberrybean — Cranberry Bean | Tiia Monto | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Rosecoco%20beans.jpg
waterchestnut — Water Chestnut | FacetsOfNonStickPans | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Water%20chestnut%20roasted%202022.jpg
amaranth — Amaranth | Jacopo Werther | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Amaranth%20grain.jpg
millet — Millet | Sengai Podhuvan | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Food%20grain%20pearl%20millet%201.jpg
watermelonseed — Watermelon Seed | Salil Kumar Mukherjee | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Watermelon%20Seeds.jpg
acorn — Acorn | Ivar Leidus | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Quercus%20robur%20acorn%20-%20Keila.jpg
greatnorthernbean — Great Northern Bean | Roger Culos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Phaseolus%20vulgaris%20MHNT.BOT.2016.24.73.jpg
blackwalnut — Black Walnut | Leslie Seaton from Seattle, WA, USA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Black%20Walnut%20Fruit%20(5177983492).jpg
butternut — Butternut | Nekrasov.ig | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Juglans%20cinerea%20006%20Nekrasov.jpg
sorghum — Sorghum | Salil Kumar Mukherjee | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A%20plate%20of%20sorghum%20grain.jpg

[HARD]
pilinut — Pili Nut | Lance Catedral from Quezon City, Metro Manila, Philippines | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Pili%20nut%20(Canarium%20ovatum).jpg
beechnut — Beechnut | Dominicus Johannes Bergsma | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Opengebarsten%20vrucht%20van%20beuk%20(Fagus%20sylvatica)%20(d.j.b.)%2002.jpg
chinquapin — Chinquapin | Summit Metro Parks | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Castanea%20pumila%20leaves%20and%20seeds.jpg
hickorynut — Hickory Nut | Adam S. Keck | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hickory%20nuts%20in%20afternoon%20light%202022.jpg
gevuina — Gevuina | Dick Culbert from Gibsons, B.C., Canada | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Gevuina%20avellana%20(8674344356).jpg
bambaragroundnut — Bambara Groundnut | Crop Trust | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Traditional%20deshelling%20of%20Bambara%20groundnut%2C%20Singida%2C%20Tanzania.jpg
wingedbean — Winged Bean | David E Mead | CC0 | https://commons.wikimedia.org/wiki/File:Winged%20bean%20pods.jpg
lupinibean — Lupini Bean | Dedda71 | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Carrube%20e%20lupini.jpg
ricebean — Rice Bean | Samuel Wong | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:%E8%B5%A4%E5%B0%8F%E8%B1%86.jpg
mothbean — Moth Bean | Lalitstar at English Wikipedia | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Matki.JPG
