GuessSync E62 — «Guess the Herb or Spice» — Image Attributions
All images from Wikimedia Commons. 100 herbs & spices.
Format: slug — Name | Author | License | Source
horseradish — Horseradish | Kritzolina | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Gem%C3%BCsestand%20am%20Viktualienmarkt%20M%C3%BCnchen%2004.jpg
wasabi — Wasabi | hfordsa from Tsukiji Fish Market in Tsukiji, Tokyo | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Wasabi%20by%20malias%20in%20Tsukiji%20Fish%20Market.jpg
chervil — Chervil | Schlaghecken Josef | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Kerbel%20(Anthriscus%20cerefolium)%20mit%20Echter%20Mehltau%20(Erysiphe%20heraclei)%20Befall%2C%20Schlaghecken.jpg
savory — Savory | Photo by David J. Stang | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Satureja%20hortensis%201zz.jpg
curryleaf — Curry Leaf | Flocci Nivis | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:20260317%20Murraya%20koenigii%2002.jpg
cubeb — Cubeb Pepper | Miansari66 | Public domain | https://commons.wikimedia.org/wiki/File:Cubeb.JPG
mace — Mace | Terrence Coombes | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nutmeg%20ready.jpg
screwpine — Pandan | Salmiah La Suma | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pandanus%20amaryllifolius%2C%20locally%20known%20as%20'daun%20pandan'%20in%20Indonesia.jpg

[HARD]
sumac — Sumac | Miansari66 | Public domain | https://commons.wikimedia.org/wiki/File:Sumak%20powder.JPG
zaatar — Za'atar | Fshadid | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Closeup_image_of_za'atar%2C_a_blend_of_origanum_syriacum_(hyssop%2C_sumac%2C_sesame_seeds_and_salt.jpg
galangal — Galangal | Liza Daly (ld31337) | Public domain | https://commons.wikimedia.org/wiki/File:Galangal.jpg
nigella — Nigella | Roger Culos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Nigella%20sativa%20MHNT.BOT.2015.34.22.jpg
amchoor — Amchoor | Miansari66 | Public domain | https://commons.wikimedia.org/wiki/File:Dried%20Mango%20Slices.JPG
ajwain — Ajwain | Mon Œil | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Ajowan.jpg
annatto — Annatto | Ryan Snyder | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Achiote%20Powder%20Annatto%20Seeds%20(4422836316).jpg
epazote — Epazote | Forest and Kim Starr | CC BY 3.0 us | https://commons.wikimedia.org/wiki/File:Starr-100503-5784-Dysphania%20ambrosioides-leaves-Kula-Maui%20(24919177662).jpg
sichuanpepper — Sichuan Pepper | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Poivre%20fond%20blanc.jpg
kaffirlime — Kaffir Lime Leaf | Fatrabbit | Public domain | https://commons.wikimedia.org/wiki/File:Citrus%20hystrix%20leaf.jpg
lovage — Lovage | Emilian Robert Vicol from Com. Balanesti, Romania | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lovage-Flavor-Food%2013078-480x360%20(4905066694).jpg
hyssop — Hyssop | WayneRay | Public domain | https://commons.wikimedia.org/wiki/File:Agastace%20foeniculum%20WPC.jpg
borage — Borage | Jengod | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Blue%20borage%20flowers%202526205868%206b35bbac29%20b.jpg
angelica — Angelica | Agnes Monkelbaan | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Engelwortel%20(Angelica%20archangelica).%20Locatie%2C%20Broeresleat.%20S%C3%BAdwest-Frysl%C3%A2n.%2012-08-2020.%20(actm.)%2002.jpg
sorrel — Sorrel | ceridwen | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Wild%20sorrel%20(Rumex%20acetosa)%20-%20geograph.org.uk%20-%20915938.jpg
rue — Rue | Forest and Kim Starr | CC BY 3.0 us | https://commons.wikimedia.org/wiki/File:Starr-120403-4108-Ruta%20graveolens-leaves-Kula-Maui%20(24770751639).jpg
safflower — Safflower | Unknown | Copyrighted free use | https://commons.wikimedia.org/wiki/File:Safflower.jpg
grainsofparadise — Grains of Paradise | Lemmikkipuu | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Aframomum%20melegueta.jpg
longpepper — Long Pepper | yeowatzup | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Souk%20Al%20Milh%2C%20Sana%2C%20Yemen%20(4324865585).jpg
asafoetida — Asafoetida | Tricholome | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Asafoetida%20resin%20(Iran).jpg
mahleb — Mahleb | Leslie Seaton | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mahleb%20Grinder.jpg
sansho — Sansho | Chameleon (talk · contribs) | Public domain | https://commons.wikimedia.org/wiki/File:%E8%8A%B1%E6%A4%92%20Zanthoxylum.jpg
