GuessSync E61 — «Guess the Pasta» — Image Attributions
All images from Wikimedia Commons. 100 pasta shapes.
Format: slug — Name | Author | License | Source
bavette — Bavette | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pesto5.jpg
cappelletti — Cappelletti | Lungoleno | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:02%20Cappelletti%20-%20Cappellacci%20-%20Pasta%20ripiena%20-%20Cucina%20tipica%20-%20Ferrara.jpg
tortiglioni — Tortiglioni | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Tortiglioni.jpg

[HARD]
bucatini — Bucatini | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Bucatini.jpg
orecchiette — Orecchiette | Liveon001 © Travis K. Witt | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Orecchiette%20Pasta.JPG
paccheri — Paccheri | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Paccheri3.jpg
trofie — Trofie | Tom dl | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Trofie_pasta_macro.jpg
casarecce — Casarecce | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Casarecce2.jpg
strozzapreti — Strozzapreti | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Strozzapreti_bulk.jpg
gemelli — Gemelli | Fazal Majid | Public domain | https://commons.wikimedia.org/wiki/File:Gemelli.jpg
cavatelli — Cavatelli | Luigi Scorcia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Cavatelli.jpg
garganelli — Garganelli | Jameson Fink from New York, USA | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Garganelli_(10348149363).jpg
mafaldine — Mafaldine | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Reginette.jpg
busiate — Busiate | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Busiate.jpg
fileja — Fileja | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Fileja.jpg
testaroli — Testaroli | J.P.Lon | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Testaroli-Pesto-Pontremoli-2800.jpg
culurgiones — Culurgiones | andria | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Culurgione.jpg
casoncelli — Casoncelli | Florixc | Public domain | https://commons.wikimedia.org/wiki/File:Casoncelli_in_una_grande_padella.jpg
pansotti — Pansotti | Own work | CC0 | https://commons.wikimedia.org/wiki/File:Pastificio%20Novella%20-%20Pansoti%20Preboggion%2C%20crop.jpg
stringozzi — Stringozzi | Paoletta S. | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Stringozzi.jpg
scialatielli — Scialatielli | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Scialatielli.jpg
cencioni — Cencioni | Fazal Majid | Public domain | https://commons.wikimedia.org/wiki/File:Cencioni.jpg
foglieulivo — Foglie d'Ulivo | Popo le Chien | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Foglie_ulivo_top.jpg
spaccatelle — Spaccatelle | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Spaccatelle%20bulk.jpg
chifferi — Chifferi | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Chifferi%20rigati.jpg
creste — Creste di Gallo | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Creste%20di%20gallo.jpg
cellentani — Cellentani | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Cellentani%20top.jpg
cappellacci — Cappellacci | Mirandolese | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Capl%C3%A9t%20ad%20suca.jpg

[IMPOSSIBLE]
corzetti — Corzetti | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Croxetti.png
pizzoccheri — Pizzoccheri | Nnaluci | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pizzoccheri.jpg
lorighittas — Lorighittas | fugzu from Pistoia, Italia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lorighittas_sardi_(36953461766).jpg
sacchettini — Sacchettini | Skye McDavid | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Sacchettoni%20with%20pesto.jpg
filindeu — Su Filindeu | Aggrucar | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Filindeu_in_brodo.jpg
lagane — Lagane | Lupo silano 1914 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Lagane%20e%20ciciari%20ara%20cusentina.jpg
maccheroncini — Maccheroncini di Campofilone | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Maccheroncini%20campofilone.jpg
chitarra — Spaghetti alla Chitarra | fugsu | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Spaghetti_alla_chitarra.jpg
sagnarelli — Sagnarelli | Mx. Granger | CC0 | https://commons.wikimedia.org/wiki/File:Sagnarelli_6.jpg
caramelle — Caramelle | fugzu from Pistoia, Italia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Caramelle%20di%20sfoglia%20con%20ricotta%2C%20basilico%20e%20zucchine%20(14072207807).jpg
fiori — Fiori | en:User:Cburnett | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Fiori%20pasta.jpg
piperigate — Pipe Rigate | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Pipe%20rigate%20top.jpg
mezzemaniche — Mezze Maniche | Popo le Chien | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mezze%20maniche2.jpg
tacconi — Tacconi | Daderot | CC0 | https://commons.wikimedia.org/wiki/File:Sardines%20on%20tacconi%2C%20with%20olive%20oil%2C%20black%20pepper%2C%20and%20peanut%20dust%20-%20Massachusetts.jpg
fagottini — Fagottini | OneArmedMan | Public domain | https://commons.wikimedia.org/wiki/File:Fagottini%20al%20tartufo.JPG
umbricelli — Umbricelli | fugzu from Pistoia, Italia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Pici%20con%20albume.jpeg
sagneincannulate — Sagne 'ncannulate | Florixc | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sagne%20ncannulate%20pomodoro.jpg
ferretto — Maccheroni al Ferretto | Nebbie.nebula | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ferrazzuoli2026.jpg
strascinati — Strascinati | Generale Lee | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Strascinati%20con%20peperoni%20cruschi.jpg
fusillilunghi — Fusilli Lunghi | Nnaluci | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Fusilli%20lunghi%20bucati.jpg
schlutzkrapfen — Schlutzkrapfen | Benreis | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Schlutzkrapfen_South_Tyrol_(3).JPG
passatelli — Passatelli | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Passatelli.jpg
capunti — Capunti | Roger469 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Capunti.vassoio.jpg
sorprese — Sorprese | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Sorprese%20bulk.jpg
grattini — Grattini | Popo le Chien | CC0 | https://commons.wikimedia.org/wiki/File:Grattini2.jpg
